id,course_title,course_credit
Mctn0oPXf6xj,Early Childhood Education,1
GqSqEUCvf0Fv,Journalism and Society,2
fTHKryVVRThz,Heritage Management,3
KcVJ91rjyA6o,Brand Management,3
sbNJzTTJ596n,Geospatial Technology and GIS,4
c3uiEZd1b1N4,Managerial Accounting,2
XMmeQjp2SBrW,Mobile Security,4
dtKsfNh15g4o,Heritage Management,1
AdQfRYcEtttS,Land Use Planning,2
aDNb73Gi3I9r,Sociology of Race and Ethnicity,2
X3DWKMwwd8zm,History of the Middle Ages,1
42Nr6yFwBmzK,Consumer Behavior,3
yMmxeCasvpKk,Urban Environmental Management,4
ZD2tU63fPoyU,Ethics,1
JvA10x9V1Umi,Political Data Analytics,2
Hmcpc2Yc1wkS,History of Ancient Greece,2
BcLRR4tdnZW3,Psychology of Learning,2
oL9yvrnhSsR4,Forensic Science,3
6OzMJCC8ZKrZ,Human Geography,3
lWo8H6Y7RqYV,Public Opinion and Political Behavior,3
3anSLIWASetr,Social Studies Education,3
fa2TUSRi8ywe,Behavioral Economics,2
OgECLw5uQXhe,Political Communication,3
CC4JJzVn7vKN,Digital Communication,2
9BYCjy7Py4z9,Industrial-Organizational Psychology,1
mQgW8sQFXykH,Ethics in Public Administration,4
vvFwXvHTsUoL,Broadcast Journalism,1
2LlUlAqcklgX,Event Management,3
iLJYOBirkFBQ,Advanced Databases,3
h1NHWACiMdX0,Educational Equity,2
SP0h5l389zDz,Political Geography,3
3n9nxJRTFSAb,Language and Literacy Development,3
e2g7HDveK6h7,International Organizations,1
JVoLP5rWJkak,Media Marketing,4
xNWor8oOSFlM,Introduction to Sociology,2
A6SjCy2axiFv,Health Education and Promotion,2
LJdftMqsBypJ,Cost Accounting,2
uzFxbnVXSYpm,Urban Politics,4
fwftVcTqCaco,Philosophy of Law,4
8myrLgwQJSFQ,Philosophy and Film,4
jyeh1y7S9jdn,History of Science and Technology,4
wbBXdZ1ncVAI,Housing Policy and Development,4
e2TrPQVwzcgt,Python Programming,3
wqBo4E3t8YsZ,Employee Motivation,3
Kxl9RAkVnOwR,Geographical Information Systems (GIS),2
fyQfC9V4Wwpu,Experimental Psychology,2
3q7lRopyeGiM,Public Health Policy,3
rffuiSu15myA,Quantitative Methods in Economics,4
eeY6ALgKNviL,Human Rights and Social Justice,4
4Y7COOxOcmEA,Business Intelligence,3
lWKEwtuMWNcg,Health Promotion and Disease Prevention,1
3oM0Yq2o4Qqj,Tourism Marketing and Promotion,1
