id,grade,school_year,score
bN4PIWOVXjHr,A+,2015-2016,19
4hgTvukBPuKo,C-,2025-2026,45
OxDSYfbHy1pI,D+,2021-2022,1
iYPI33ykSqJG,D+,2019-2020,97
jJ9rtgDcuzlu,A,2009-2010,38
kDs16SxWj9s3,D,2014-2015,95
VxWTzlxpKYtF,C,2022-2023,71
bKTSV6O8N99w,A,2003-2004,56
mfo0Patqmy9d,B+,2006-2007,33
0gdNcXHpa9J0,A+,2006-2007,81
4BfhOLqTgmCB,C,2003-2004,85
2eWBOrtKX9Pw,D+,2027-2028,65
MutqbyBbgfPQ,A-,2003-2004,84
7QYJ1Lz19Kjx,C-,2012-2013,67
SeqkukHESD7z,B,2016-2017,90
sIQEPc7m0Tcn,C-,2020-2021,61
Glj49ukpALsj,D-,2005-2006,8
0Fh2lkMtLWdP,B-,2013-2014,57
TQUSobtcbwc7,A,2007-2008,27
pMSizjfxWhey,B+,2012-2013,77
2t6Ogwtn88E3,C-,2015-2016,97
q8AA5R4D7ln6,D,2015-2016,14
IvLZCYHf76p3,B,2012-2013,62
3JYFIyqcZqKB,B-,2001-2002,57
F2CytszX4wfs,A+,2025-2026,87
ymHKiiOAlC9q,A-,2005-2006,69
re1Pb2mAFfaf,C,2004-2005,51
wpMvR4oAh5OH,D+,2024-2025,95
VLJAQhtsgboA,B+,2019-2020,41
oZ5KGjNLXkuf,B,2022-2023,96
Rn59p6GpHR4h,C+,2027-2028,16
MGfAdqvOGkYs,C+,2002-2003,6
chGLGdTmqqrD,D,2011-2012,12
8yzcr3y2lLgy,D,2025-2026,52
zPBcxgBtG4bc,B-,2020-2021,76
5o9lx4E76PvO,B,2003-2004,48
utbMIxfBe8ix,B,2008-2009,14
MikwAWL3yyUt,D+,2008-2009,81
lSLcCljJGMr7,A-,2016-2017,24
19GVJnYOYiKa,B+,2016-2017,92
KU7EtZMByfJR,D,2023-2024,1
5IIwiIiGC0u2,B+,2015-2016,79
3Dr7ftJRaikp,B,2002-2003,5
11FcpLNBU3gf,D-,2018-2019,75
Ntc4NWTmihLo,B+,2001-2002,72
M835Jb6qYXC8,A,2007-2008,14
LrnokTB12jkQ,A+,2019-2020,7
gsRWipbZYfGy,D-,2001-2002,49
y11t5DWyTJEO,D-,2001-2002,64
ObPG5gpJVh7O,A,2019-2020,23
W0QPF0tZaV89,D,2020-2021,84
CrAvTdLqGw8b,A,2006-2007,59
Ek4OtGbH2LCg,A,2002-2003,54
6J2PXmLG8lxb,D,2008-2009,18
Zb4nR41uumcj,B-,2006-2007,45
2fSTrvKxDj64,F,2016-2017,52
rGrIkIICWZ1D,B+,2014-2015,24
uVrisVSzoOFr,B-,2025-2026,15
Q8qtAy6hhAJY,C+,2022-2023,97
aSSWWKOTOQnh,B-,2019-2020,97
uzVfG76LBAu8,B-,2014-2015,19
YuBjVYKuFlzC,B,2013-2014,80
vT6htQiznkOz,A-,2018-2019,31
AqC8kEHXwXM8,B-,2026-2027,52
9g8tf4U12lwk,A,2021-2022,72
WdlQKYdKGFHn,B,2021-2022,54
uQ6NU6nyMAKw,C,2008-2009,34
9B0v4dLEn8k2,D+,2019-2020,72
Gg40DG495cPq,B+,2013-2014,39
hHNxLjQUZ7RA,D,2008-2009,62
GxzVHQrWPMOH,B+,2006-2007,45
B5KhIwMzGAob,B,2003-2004,51
PpvdCOsGsqgS,C,2016-2017,61
xbhi6VtTgG4t,F,2013-2014,83
uJmdc9pCaV9u,C+,2019-2020,1
nWQmWLILyVBe,D+,2002-2003,82
WvE1d5Zk721q,A-,2015-2016,41
pLNVBXpDo1iR,B,2006-2007,91
jmt8TccqbE4z,B-,2008-2009,17
bYFAq3AP8ReK,B+,2016-2017,75
1tdWpHECAGkF,D,2007-2008,62
Ped5Z2m3qIal,A+,2002-2003,22
dLoUiaLPYCVX,A,2003-2004,53
vq19fUQPgCN6,B+,2010-2011,76
DADj6UgQj8wD,D+,2014-2015,55
rfxgOCSqp9PB,D+,2010-2011,13
p3Bi26ffyfNl,F,2011-2012,27
5rqw6zDr5Qy2,A,2024-2025,74
Wmman9KD9SWB,A+,2019-2020,4
CDKjWJ6RLmEv,A-,2003-2004,94
nghJDTpMPxD4,B,2026-2027,77
mJ3nNIYO9FoV,F,2024-2025,69
D7Ugs2OOXLcx,B-,2023-2024,71
9w63kkUwJQoM,D-,2015-2016,83
JEaVylZqsWlr,F,2017-2018,1
90QMp04H673m,F,2012-2013,71
LiESFw0Qhrbx,B-,2023-2024,36
2qt8w7RiMCFs,B,2004-2005,91
8aHvujK2JVU3,A-,2012-2013,31
2qglS9HtvRmg,C-,2004-2005,66
E0NFko4MZ2P1,B+,2015-2016,91
AsLoHzztrTWv,B-,2024-2025,66
iNQHIq1n5eHq,A,2010-2011,7
QXxjzWqNPTir,D-,2004-2005,41
xenLuPbS4ijg,B,2022-2023,65
hMGvn16qz5wS,A,2002-2003,18
DMUOymxgeKeR,A+,2025-2026,75
b8AaWgyOm1zE,C-,2024-2025,62
ZovYoWtuaSdr,D-,2005-2006,42
aIkwui71ZcGg,C-,2024-2025,25
AHukDZlUNJG9,B+,2018-2019,18
LXwZ9hFZjBKy,B,2013-2014,40
vNOVhtkQ2ijb,F,2015-2016,20
BvEO0Fuar6OC,B,2027-2028,38
XansXA3ozBBq,C+,2014-2015,37
InZVr2Y4TNyC,C+,2009-2010,82
B3yevSfOqeft,A,2006-2007,89
9sxXxxjIENy6,D-,2011-2012,6
AoocHoCosDbm,A,2002-2003,72
L286oMNVDjpZ,C,2017-2018,56
OCIZ9AslpZie,C-,2008-2009,86
gemGV4L19BTa,A,2023-2024,44
NFvGNzl7Nyq3,C-,2027-2028,12
mZ1M5gL21WmN,A+,2009-2010,88
n2NIOkYpBN2c,C+,2025-2026,31
EkxvsUNzlhsP,B+,2015-2016,34
JSZty8PHzoDS,A,2018-2019,70
7DQgZdft4NQr,C+,2013-2014,44
VpBSmeIap2O7,A+,2015-2016,9
R0JG3OPFyFlA,A-,2003-2004,49
DjxDWujKHFX1,B,2001-2002,68
cXDvEcOO1BU9,C-,2008-2009,32
OStV3oNXw9ks,A,2005-2006,45
IB4aPhpqD15W,D,2018-2019,9
MHctirWKoPMN,D+,2007-2008,96
XCePk0LZSDXX,C+,2006-2007,9
yAfwTB6n1tlN,C-,2009-2010,93
pXn6kMmmDvTb,C-,2013-2014,7
b8PXlKbSJ5zv,B+,2025-2026,60
03TlpQkR2znW,B,2020-2021,26
uIO99BWXRZ4g,A+,2025-2026,94
djeTPdFjiuaP,A,2013-2014,83
KZWuMYSBuTIK,B+,2009-2010,81
JCwyup0QCCHp,B-,2008-2009,11
Hqpb2g0D4QxE,D,2001-2002,43
aefDbLtPqRer,B+,2011-2012,12
785iUu91vrx1,C+,2011-2012,64
lKLyQJJ9gDGO,D,2006-2007,53
SnDhiZa0uCKx,B+,2025-2026,14
joiWbYXLqjyI,D-,2024-2025,96
IiB4G77Cy5yr,C,2001-2002,45
DiDAeAvSxTk2,F,2015-2016,26
WlJLmPsJAPE5,B,2024-2025,14
39TQSyTzHihu,A+,2005-2006,64
18leb0oa1nqD,A-,2018-2019,70
e1rmvBBEuGGK,F,2020-2021,69
OArNB4ZOKRjD,D-,2021-2022,38
KWbySz8aqZWJ,B+,2024-2025,71
iZka3G78hHCT,B-,2019-2020,51
2bB7XO0a1qHf,D,2026-2027,1
Jl9LbfO1QKKN,A-,2022-2023,48
MwCE1wvJi0vt,D+,2009-2010,42
nkbtc3mALvPD,D+,2019-2020,61
7OUqKX1CvUaA,D-,2001-2002,31
