id,start_date,end_date,weighted_mark,school_year
s1xlNJQrkwGD,2023-12-14,2024-08-02,70,2001-2002
3koq61ZCqTYJ,2024-08-22,2024-05-22,79,2007-2008
UhPpLek0K3YL,2024-10-03,2024-03-09,51,2001-2002
nz8mumiVjH0j,2024-04-23,2023-12-31,87,2001-2002
h3HrWRcxihUm,2024-10-15,2024-08-06,93,2010-2011
QEfMWqkVc3ng,2024-06-07,2024-07-06,88,2007-2008
ni0IimJHuLUI,2024-11-24,2024-05-01,54,2012-2013
TDGFGqlAWYeW,2024-08-03,2024-08-30,52,2001-2002
fTu0pRc6f89D,2023-12-03,2024-03-20,54,2014-2015
knDgKKXDs58y,2024-10-29,2024-07-02,73,2014-2015
vm4tXJaewIJS,2024-03-23,2024-06-06,67,2004-2005
JcZx65qTgLJI,2024-01-05,2024-04-12,96,2003-2004
p8bkXioMfzrX,2024-03-30,2024-03-09,58,2012-2013
zOEYPZnAk52l,2024-07-27,2024-09-25,54,2016-2017
mdK02evTQtou,2024-07-05,2024-01-18,88,2002-2003
vNxG45B469yP,2024-04-22,2024-07-14,53,2016-2017
NAifMlloHo15,2024-05-13,2024-07-31,95,2012-2013
xTZpXiyabyHm,2023-12-03,2024-07-17,74,2020-2021
9lrhHGgelFCA,2024-02-04,2024-04-30,51,2016-2017
BhtBgzLgikcs,2024-10-24,2024-04-09,80,2011-2012
0pGQMAzWxYUS,2024-08-12,2024-05-19,86,2017-2018
YRBhrAdmxeHv,2024-09-07,2024-06-19,52,2022-2023
Szq5Uy2jiiOH,2023-12-30,2024-11-24,93,2007-2008
Irwu6TBnc2M4,2024-10-31,2024-05-18,65,2020-2021
7P1BSvnCvIbr,2024-07-21,2024-10-21,83,2010-2011
0QFHCNsHuwNR,2024-08-04,2024-02-18,88,2003-2004
J3j4WtXalb42,2024-04-24,2024-12-10,94,2007-2008
c9ClPGfFHJr4,2024-09-20,2024-07-12,97,2009-2010
Zia06GNSIzTM,2024-07-28,2024-05-21,85,2017-2018
kAiToHvt7YDP,2024-07-17,2023-12-30,94,2007-2008
yImNQiR74bfB,2024-08-26,2024-12-01,94,2026-2027
U03MFd3kSBe0,2024-05-17,2024-08-31,75,2019-2020
X0ynnCxtdKBe,2023-12-04,2024-09-05,71,2027-2028
peIVFcBFWqzZ,2024-10-09,2024-06-21,55,2006-2007
Fyx49a0sPP2c,2024-05-05,2024-12-02,65,2008-2009
26LTeXzyOh9K,2024-01-15,2024-08-10,54,2013-2014
DOnf9vUzWjwK,2024-03-29,2024-05-07,54,2010-2011
1cIquq1mLZAJ,2024-06-20,2024-08-16,52,2001-2002
a1PWKFOq9CGh,2024-03-11,2024-01-22,62,2015-2016
d7r84EmHRzgO,2024-06-26,2024-11-21,91,2013-2014
0rlnUl2J01ZZ,2024-06-29,2024-06-05,53,2001-2002
oWWqCvTA13zV,2024-09-03,2024-02-13,86,2020-2021
ZHFzSdqmvTJb,2024-09-03,2024-03-09,93,2009-2010
jY0mVxj1yZq0,2024-10-23,2024-08-23,89,2026-2027
7fbd5o2UXbRb,2024-08-28,2024-01-02,50,2019-2020
GyGFwIPozpiZ,2023-12-23,2024-03-12,97,2015-2016
9opC6S43otnR,2024-10-29,2024-03-16,71,2020-2021
9tY8qYe6rEXn,2024-01-27,2023-12-21,63,2001-2002
zjNxUXhVQggv,2024-08-24,2024-11-28,92,2001-2002
ahJOl5HCabXE,2024-02-20,2024-06-07,67,2020-2021
oSQ1znd033dz,2024-07-03,2024-07-23,68,2022-2023
yeYw1SH5aD9p,2024-09-12,2024-10-20,50,2025-2026
kXL6wMjOVnMg,2024-06-04,2024-04-22,84,2025-2026
etZEErrFZnay,2024-05-19,2024-01-02,91,2007-2008
hPgC0C10f7pO,2024-04-16,2023-12-27,63,2016-2017
wNfvpt9JrFI8,2024-09-18,2024-11-23,69,2016-2017
9BC6QabI3Bep,2023-12-31,2024-09-05,88,2023-2024
49GgYD9xX0Zm,2024-08-07,2024-01-11,75,2015-2016
Wi5As7A9S1Cp,2024-02-14,2024-05-01,82,2004-2005
nybmmF7iRNA2,2024-06-03,2024-11-06,78,2014-2015
1D41La0vhDTL,2023-12-27,2024-02-13,85,2017-2018
AZJUxncVhYjj,2024-03-31,2024-01-21,92,2025-2026
k2zugJOiFa9R,2024-05-02,2024-09-16,88,2004-2005
9gK7sSC84CwZ,2024-01-19,2024-10-14,87,2010-2011
nwXhumq1ximb,2024-06-17,2024-02-15,67,2003-2004
LH29ic9188aF,2024-09-05,2024-11-18,81,2017-2018
Mudo2U4hZodl,2024-06-01,2024-04-01,82,2016-2017
amFCPRyES0Zo,2024-03-25,2024-12-24,93,2024-2025
4X7N5uDUr34b,2024-03-06,2024-04-08,59,2016-2017
6fI13WOfxzv1,2024-11-04,2024-01-10,93,2023-2024
15DkPzI0Sqgd,2024-05-03,2024-04-20,93,2007-2008
YrGmzqVk9SlU,2024-09-23,2024-08-19,69,2004-2005
45m6MswiWfm6,2024-10-01,2024-03-30,63,2007-2008
Y2HwyhhM474o,2024-11-28,2024-01-18,100,2003-2004
beDT41pWJdhR,2023-12-25,2024-03-25,69,2013-2014
VOy3qOFgut06,2024-08-22,2024-06-01,92,2016-2017
vVtm9HiN6RrW,2024-10-18,2024-04-03,83,2025-2026
QyiqJyjv6Cye,2024-03-24,2024-03-23,71,2014-2015
iedvLk15DYhx,2023-12-25,2024-11-11,76,2003-2004
evuEfXwdQwMp,2024-01-26,2024-11-18,95,2011-2012
YfpQsxJxuA3G,2024-08-23,2024-08-14,68,2023-2024
2F3QPLoZ2p0C,2024-11-17,2024-08-22,97,2025-2026
rARNM22rlwfE,2023-12-18,2024-02-13,58,2027-2028
XEJNoBii9zu6,2024-11-27,2024-05-10,51,2004-2005
jSXQz2QCrBrg,2024-11-08,2024-07-11,77,2014-2015
seKYJHcGVODY,2024-03-23,2024-03-22,89,2026-2027
tDc7leu0qGNS,2024-03-31,2024-10-15,83,2018-2019
JaIu8xbZpDDd,2024-06-14,2024-03-02,66,2013-2014
AEUgF7WWtipi,2024-05-20,2024-11-13,69,2009-2010
NzcZzNRQ6ADo,2024-02-12,2024-02-24,68,2003-2004
55CePakHz2xk,2024-07-25,2024-05-21,83,2018-2019
S1vKBHhCudwB,2024-10-02,2024-10-22,59,2027-2028
YgdQi56NNSIJ,2024-04-25,2024-09-04,96,2012-2013
erZks87r5xXB,2024-11-06,2024-11-21,83,2001-2002
d0srnl5PEQOv,2024-08-20,2024-07-10,63,2012-2013
JE5ZtkJodEEe,2024-10-06,2024-08-09,75,2025-2026
irhcEv1D6FhW,2024-03-15,2024-04-23,56,2026-2027
BEu1YV2CrXJ7,2024-05-12,2024-10-26,69,2023-2024
fs06rhFJdylv,2024-11-21,2024-08-29,92,2027-2028
7o3UHy3y5RRT,2024-09-28,2024-06-06,96,2005-2006
urqVaFanuwH9,2023-12-22,2024-12-08,70,2014-2015
Fhc1hBTjndfU,2024-08-06,2024-09-05,81,2013-2014
773BclUkEEGh,2024-11-25,2024-08-26,53,2006-2007
oF6KLj0Zst49,2024-04-28,2024-03-20,76,2024-2025
5rAWC0a0dOIG,2024-11-01,2024-10-04,53,2017-2018
RpVurUZYednc,2024-02-28,2024-06-18,93,2001-2002
NHJvdLiNftKM,2024-07-08,2024-06-23,64,2012-2013
bn0OIIgXH2oE,2024-09-12,2024-07-16,72,2009-2010
mzWUdrTEnjl9,2024-06-26,2024-05-10,88,2015-2016
uxapK65ksuJC,2024-08-03,2024-02-15,81,2027-2028
GRDdHUOqPdyF,2024-10-22,2024-08-22,83,2008-2009
iP3txiz23Hwv,2024-11-13,2024-05-26,96,2013-2014
NVY0pIfCMpFP,2024-09-30,2024-02-02,96,2011-2012
eUTFt8MoFLDO,2024-05-24,2024-11-25,74,2006-2007
U3FeHTrqG6TN,2024-11-02,2024-08-17,51,2012-2013
vO57PXkPlJDD,2024-01-20,2024-07-05,77,2024-2025
VssiyliC1xXo,2023-12-20,2024-07-14,85,2026-2027
sGwBlBH0nAyG,2024-01-22,2024-08-30,61,2025-2026
JcCoNyri7dwQ,2024-05-06,2024-10-13,78,2004-2005
WuMXfZrl0lWa,2024-07-29,2024-05-25,92,2001-2002
oofiGiweTFBP,2024-05-21,2024-06-20,93,2002-2003
l36CHycESphw,2024-07-19,2023-12-31,74,2004-2005
E1RipYUHjxRR,2024-10-06,2024-07-05,74,2007-2008
AHoGenfyXeyZ,2024-07-22,2024-05-09,86,2016-2017
NUIpkU2OFDQc,2024-03-23,2024-09-22,53,2005-2006
