id,day,start_time,end_time,duration,school_year
N5X3eOnQO17g,Sunday,04:38:08,14:29:34,1 Hour,2016-2017
JnnGTguZCVQG,Wednesday,18:47:37,11:31:10,1 Hour,2009-2010
6VYhFooTA3dR,Monday,15:02:14,12:50:55,1 Hour 30 Minutes,2025-2026
jwUuo5aqfdn2,Saturday,19:31:22,00:03:43,1 Hour 30 Minutes,2009-2010
WjzSPY1rXH5a,Monday,00:52:40,19:11:08,1 Hour,2025-2026
uKXdG0FZZS7p,Monday,06:33:27,03:48:15,2 Hours,2025-2026
ZJONhpkvZ4xW,Friday,06:05:11,20:34:54,2 Hours,2008-2009
MTvibp60adZx,Wednesday,09:05:58,06:57:11,1 Hour,2003-2004
MKcvcko3L3tA,Tuesday,22:58:23,22:37:21,2 Hours,2025-2026
YN9A5B0Xjz60,Friday,23:12:21,23:41:36,2 Hours,2005-2006
oYRm9w4pEGhJ,Sunday,12:12:12,14:25:53,2 Hours,2026-2027
sxVKVlguWWMM,Thursday,10:02:46,17:53:24,2 Hours,2014-2015
sRUTkegLhVNK,Tuesday,06:20:47,19:00:21,1 Hour 30 Minutes,2019-2020
Jyv99Olhi0HP,Sunday,07:15:29,18:52:49,1 Hour 30 Minutes,2011-2012
RSg40M7dLhTG,Thursday,02:15:35,14:27:14,1 Hour,2012-2013
Q2esvJbFaahL,Thursday,11:42:33,04:56:26,2 Hours 30 Minutes,2008-2009
UAOzXrIjgo0d,Saturday,20:13:47,10:40:28,1 Hour,2022-2023
WNDDwxscCmem,Monday,06:24:06,04:55:52,2 Hours 30 Minutes,2006-2007
yO8YOU08Z5Lm,Sunday,11:01:03,22:10:51,1 Hour 30 Minutes,2018-2019
GRvuuCf6xjH4,Sunday,17:30:24,17:42:52,2 Hours,2010-2011
0QdtUqo6AMmS,Saturday,02:38:43,07:16:59,1 Hour 30 Minutes,2005-2006
msW0NS6l7S3n,Saturday,10:33:07,23:38:06,2 Hours 30 Minutes,2019-2020
z7v1XPa1d1vu,Thursday,16:42:34,19:20:39,1 Hour,2021-2022
NXIndGkws4Hz,Sunday,07:02:00,04:58:11,1 Hour,2020-2021
aSOegDxwYman,Sunday,22:55:17,00:00:11,2 Hours,2002-2003
YMMMVBwOOYV1,Thursday,22:02:17,13:06:57,1 Hour 30 Minutes,2026-2027
OyZ1RJ0SkkFw,Wednesday,22:40:43,22:17:30,1 Hour,2015-2016
EmXSjCF0TnhY,Saturday,08:40:16,12:54:25,1 Hour 30 Minutes,2018-2019
dlt8SUwlv3tF,Monday,02:38:49,12:37:25,1 Hour,2015-2016
E4mvG0v63bqy,Saturday,08:32:04,04:54:44,2 Hours,2018-2019
FD4zRTNMvr5f,Monday,02:12:52,20:17:58,1 Hour,2010-2011
bQeeL6dmkAr5,Sunday,21:27:49,12:35:09,1 Hour 30 Minutes,2002-2003
Nj2gKrQTdsU4,Tuesday,09:26:49,03:07:51,1 Hour 30 Minutes,2023-2024
9CAkdwg76pUB,Sunday,08:41:35,18:08:43,2 Hours 30 Minutes,2005-2006
cBW57ZIG4V1M,Wednesday,00:41:13,18:54:04,2 Hours 30 Minutes,2016-2017
xgEWRFJQo1Qk,Wednesday,21:28:47,14:36:32,2 Hours 30 Minutes,2023-2024
nKAvnvJSiLES,Friday,11:17:27,10:35:46,1 Hour,2012-2013
awtBGWWeITiu,Saturday,18:09:23,02:01:35,1 Hour 30 Minutes,2017-2018
0QFuYXkkJ462,Sunday,12:21:22,19:47:24,2 Hours,2003-2004
iZCDMg8rn4Cn,Sunday,16:12:34,06:45:56,1 Hour 30 Minutes,2005-2006
T4MJBmL3vybW,Friday,16:30:48,11:34:26,2 Hours,2003-2004
A12d5XiQqYmx,Saturday,04:35:25,03:53:51,2 Hours 30 Minutes,2023-2024
pnEpwDQyGEaP,Sunday,01:43:40,11:52:32,1 Hour,2015-2016
jQFcrX3xnDno,Thursday,11:16:34,13:54:59,1 Hour 30 Minutes,2025-2026
mJzGESM809Rd,Monday,05:57:38,22:21:50,2 Hours,2025-2026
OUrbklhQrLgA,Friday,17:30:13,00:04:42,1 Hour,2005-2006
s0y5Zjva12mk,Saturday,22:43:43,12:40:24,2 Hours 30 Minutes,2009-2010
d8zc76XMqSGD,Thursday,16:18:32,18:35:40,1 Hour 30 Minutes,2010-2011
NLxzqFTdG0dg,Thursday,08:22:21,15:00:15,1 Hour,2015-2016
E6QRwjVWBoGy,Sunday,02:53:36,02:44:13,1 Hour 30 Minutes,2024-2025
NHAwibEFpZVe,Friday,14:55:58,03:57:06,1 Hour,2014-2015
DXW2jxRAVy3d,Thursday,03:52:53,00:41:45,1 Hour 30 Minutes,2025-2026
BeIDixBJqaRY,Saturday,01:41:25,08:45:14,2 Hours 30 Minutes,2004-2005
9ec8yIDVUQxl,Friday,01:39:57,16:28:12,1 Hour 30 Minutes,2011-2012
UDnAB4tsjHSp,Tuesday,07:00:20,15:18:06,1 Hour 30 Minutes,2011-2012
fsb503jsDxPk,Sunday,16:06:06,03:25:40,2 Hours,2019-2020
D25VRSdmboU5,Friday,15:47:12,01:20:19,2 Hours 30 Minutes,2007-2008
LFOnnRRBJPmR,Thursday,07:14:22,12:24:55,2 Hours,2018-2019
a3m5KJDrcMWJ,Sunday,23:33:17,09:07:54,1 Hour,2014-2015
n2PtqSfkWBFa,Saturday,18:10:49,08:40:40,1 Hour 30 Minutes,2026-2027
F2HPNl89BI07,Monday,03:05:25,12:49:11,1 Hour,2023-2024
RYdz7tyoku4m,Tuesday,14:18:45,13:07:25,1 Hour,2013-2014
zQLDue9CvX5Z,Thursday,21:40:24,19:11:01,1 Hour,2005-2006
1r1WJSrjEPdH,Thursday,15:09:09,20:57:08,1 Hour,2011-2012
dCt8Ioi8AaTx,Sunday,11:39:30,18:52:19,1 Hour,2019-2020
mbYUUNakmRtG,Sunday,20:29:07,20:01:20,1 Hour 30 Minutes,2004-2005
Ik8rB3wsf2b1,Sunday,15:39:30,11:34:39,2 Hours,2025-2026
upUJzYLsJWer,Tuesday,01:55:36,06:51:07,2 Hours,2004-2005
ub7qG7owjFVV,Friday,07:47:52,14:29:15,1 Hour 30 Minutes,2001-2002
6yI3WFW6Ed9u,Sunday,16:25:33,05:57:44,2 Hours 30 Minutes,2017-2018
u3ZOLC0fpIf1,Thursday,05:40:20,04:06:33,1 Hour,2003-2004
4cLRxPfpAHLU,Saturday,10:02:45,19:00:29,1 Hour,2011-2012
PUIpWKL3rQel,Sunday,20:57:16,20:05:15,2 Hours,2025-2026
T1Uhc2pUDgRZ,Tuesday,19:46:37,19:44:26,2 Hours 30 Minutes,2014-2015
AO5PgPBLq8rA,Monday,15:42:17,17:20:19,2 Hours,2017-2018
OxXwQovcuCoP,Wednesday,15:34:54,13:11:50,2 Hours,2001-2002
GLVaPEMokKiz,Wednesday,08:48:58,13:35:40,2 Hours,2026-2027
c94h1agBfsyC,Tuesday,10:43:14,20:03:28,1 Hour 30 Minutes,2025-2026
cYHTi1F45K2u,Thursday,05:05:20,22:54:58,1 Hour 30 Minutes,2011-2012
sQAhcuJ98Suk,Thursday,20:14:46,22:52:31,2 Hours 30 Minutes,2010-2011
pfvwWJ2DlM3T,Sunday,02:26:43,17:09:49,2 Hours 30 Minutes,2026-2027
JBBtAw4A1f2C,Sunday,09:33:14,15:42:17,2 Hours 30 Minutes,2011-2012
g8F8tAvo35AY,Monday,05:39:20,01:17:09,1 Hour 30 Minutes,2012-2013
FkaaIvPp6cTw,Thursday,02:26:42,19:19:38,2 Hours 30 Minutes,2003-2004
IW1a57ym4qu5,Monday,06:23:42,16:29:04,2 Hours,2023-2024
XrYAYiCGTWtK,Sunday,02:53:09,16:12:12,1 Hour 30 Minutes,2001-2002
FYoHWG4joO8c,Tuesday,13:35:15,14:07:48,1 Hour,2004-2005
I0Pkbr75MzNo,Friday,13:11:12,09:42:28,1 Hour,2001-2002
VzKjcjX5AtYn,Monday,16:19:42,22:12:40,1 Hour,2021-2022
vKlA371KllEA,Tuesday,17:54:57,19:19:27,1 Hour,2013-2014
XzO3AdjL2lAi,Sunday,07:53:03,08:18:52,1 Hour,2022-2023
NFevvE4nWWLW,Thursday,12:03:17,17:18:26,1 Hour 30 Minutes,2003-2004
yTzaL91iwrXd,Monday,06:28:53,19:32:17,1 Hour,2016-2017
mC7pdz2IeEhF,Saturday,07:05:12,13:58:07,1 Hour,2025-2026
4YkU1voiCsjn,Tuesday,14:29:30,11:28:37,2 Hours 30 Minutes,2021-2022
VcyobMAeN6Ut,Saturday,09:10:27,10:52:36,1 Hour 30 Minutes,2023-2024
os26g7ut3QOE,Wednesday,12:07:11,14:14:07,2 Hours,2016-2017
xopUdCauvH03,Friday,15:36:58,15:32:53,1 Hour,2021-2022
FOo7NfCij44O,Wednesday,12:42:27,12:09:02,1 Hour 30 Minutes,2018-2019
3QcId96WlQuy,Tuesday,16:55:22,23:00:38,2 Hours,2019-2020
bDxYO2Z4WojM,Wednesday,17:46:28,09:26:14,2 Hours,2026-2027
M10mo1qZkl0W,Thursday,21:41:32,23:00:35,2 Hours,2008-2009
cyhuklV5bul9,Sunday,20:29:24,17:49:47,1 Hour,2022-2023
YVhRznEoCqMC,Sunday,00:33:32,03:05:00,1 Hour 30 Minutes,2012-2013
gng8YJdp9dMr,Sunday,20:39:07,17:29:34,1 Hour,2015-2016
iJ22MinokJt7,Wednesday,05:48:12,08:58:38,2 Hours 30 Minutes,2004-2005
uNe5S2bRrtJL,Wednesday,01:45:54,19:17:54,1 Hour 30 Minutes,2014-2015
1f1vQLuSBXe8,Monday,20:58:14,00:38:56,2 Hours,2021-2022
3TcEKMA7tKC1,Wednesday,20:53:27,11:16:43,2 Hours,2023-2024
G2LPG3Lq0Rzs,Saturday,05:33:56,10:22:52,1 Hour 30 Minutes,2024-2025
ruC93cmR2Sbc,Saturday,20:55:21,21:55:29,2 Hours,2001-2002
jyaRicHYcLA5,Sunday,05:21:52,01:54:32,1 Hour 30 Minutes,2015-2016
nu5O8O6vX341,Sunday,02:45:18,08:57:19,1 Hour 30 Minutes,2024-2025
YpwpT2O3Oy9u,Wednesday,01:39:45,10:09:20,1 Hour 30 Minutes,2007-2008
SBwLrHlH7pss,Sunday,17:15:34,15:48:57,1 Hour 30 Minutes,2004-2005
mK9DGOnarDhB,Saturday,21:47:44,22:10:46,1 Hour,2015-2016
1WEsZI26lse8,Thursday,16:54:41,03:40:41,2 Hours 30 Minutes,2022-2023
sg7w2SMa2dsH,Thursday,18:44:02,23:14:25,1 Hour,2016-2017
1GAOHIykzphs,Monday,14:52:19,16:12:15,2 Hours 30 Minutes,2002-2003
4tl2nx6g3Rs3,Saturday,11:27:20,19:47:26,2 Hours 30 Minutes,2009-2010
hcvBPex2mPcm,Thursday,01:41:26,17:27:50,2 Hours,2016-2017
Hd1dKj1xsmcI,Monday,14:53:07,20:38:04,2 Hours,2014-2015
8a3C8qMXgAXr,Sunday,17:32:08,04:06:55,1 Hour,2012-2013
Zx8Dppde5LFx,Friday,00:31:29,03:34:21,2 Hours,2008-2009
XWjmwMUwQcYf,Tuesday,18:53:14,03:07:02,2 Hours,2027-2028
dDtvT6sRIRJw,Monday,15:09:38,22:52:52,2 Hours 30 Minutes,2019-2020
t7bgXoIMjBEn,Saturday,16:15:10,12:19:43,1 Hour 30 Minutes,2010-2011
K6sOTw03I44i,Wednesday,20:43:25,00:40:27,1 Hour,2001-2002
vUk0PrPYylFU,Saturday,08:42:43,15:20:06,1 Hour,2017-2018
7RRxtEmqkIZ5,Monday,11:46:22,02:29:51,1 Hour,2003-2004
gevTCsWQbjr8,Monday,08:48:16,04:20:30,1 Hour 30 Minutes,2007-2008
5SvSL9YY22ES,Monday,22:49:09,22:01:23,1 Hour,2018-2019
awRnACWsUh0c,Sunday,09:28:00,16:26:54,2 Hours 30 Minutes,2022-2023
iUT4RgaaUGT1,Wednesday,02:36:48,14:44:12,1 Hour,2001-2002
TjjPsaFpkdco,Wednesday,04:43:32,23:48:20,2 Hours 30 Minutes,2017-2018
1X4G7S2QH9jY,Thursday,12:07:05,11:39:59,2 Hours,2008-2009
ZXnnFx1P6VCm,Wednesday,19:57:45,00:03:59,2 Hours 30 Minutes,2014-2015
IAYlU6cA6pHH,Friday,18:51:58,03:55:49,2 Hours 30 Minutes,2027-2028
gb2UaHwSBbTL,Thursday,12:11:37,06:39:21,1 Hour,2018-2019
e50FYmOOeY2J,Sunday,23:48:11,17:37:20,1 Hour,2023-2024
m7vlMhLOraLT,Wednesday,17:36:48,22:45:54,2 Hours 30 Minutes,2026-2027
3uMZIhW5umsM,Monday,21:40:05,04:03:54,1 Hour,2016-2017
9U35H2PrOGtd,Monday,14:36:29,02:13:06,2 Hours,2003-2004
qnm0xck2ZNFi,Wednesday,13:58:07,03:30:52,1 Hour 30 Minutes,2007-2008
tB1430BoCgRY,Friday,14:01:21,05:12:08,2 Hours 30 Minutes,2021-2022
NNn1viYGYp8j,Friday,11:48:50,11:20:54,1 Hour 30 Minutes,2006-2007
BYKfHS79ZkFZ,Thursday,13:48:24,13:34:30,1 Hour,2001-2002
5WoFOuvFSewv,Thursday,18:02:30,14:37:15,1 Hour 30 Minutes,2008-2009
leFSLS11hHh7,Tuesday,02:28:51,17:09:11,2 Hours 30 Minutes,2022-2023
mi57pgLVRqLu,Sunday,13:37:25,03:48:31,1 Hour 30 Minutes,2027-2028
BMGvfqlstK4G,Sunday,01:21:47,22:38:13,2 Hours 30 Minutes,2023-2024
ElH2BhxfiIF9,Sunday,01:01:27,21:25:16,2 Hours 30 Minutes,2008-2009
2Cij9VQnGUhG,Sunday,20:24:01,03:20:07,2 Hours 30 Minutes,2016-2017
c6C60hRtlJ5l,Tuesday,12:39:57,13:21:42,1 Hour 30 Minutes,2018-2019
VCpcDzf5lf4w,Wednesday,06:04:41,00:46:04,2 Hours 30 Minutes,2022-2023
1QFUXn2tjWNj,Sunday,04:25:13,01:14:00,2 Hours 30 Minutes,2013-2014
XZtzimayP5T8,Thursday,23:08:35,14:39:24,1 Hour,2020-2021
y90ZIEmf4aPv,Tuesday,01:57:38,15:59:12,1 Hour 30 Minutes,2026-2027
HrdD19ez1Gfp,Thursday,21:54:08,07:58:55,1 Hour 30 Minutes,2026-2027
6y2xnfunK0Rc,Sunday,00:41:11,09:31:40,1 Hour 30 Minutes,2010-2011
t1ZFnB8LLth7,Friday,00:42:29,18:21:55,2 Hours 30 Minutes,2017-2018
pKWEtGzenAW6,Friday,20:19:56,07:23:25,2 Hours,2016-2017
