id,day,start_time,end_time
vDyyLVqBARAk,Sunday,12:42:21,20:28:34
5OA7O1lYo0MS,Tuesday,18:50:18,12:00:43
90qMQwENraSJ,Wednesday,22:43:05,21:16:49
biTWlTXQp7vY,Monday,19:27:12,01:58:42
xbhY52buHe4R,Saturday,12:52:51,00:02:20
su9eBpJcUTXU,Wednesday,14:36:36,15:28:30
OXYuOmrsuYvI,Wednesday,11:43:04,00:44:12
1PBHAK938aRR,Saturday,10:27:51,07:18:50
YP9Yz2mxqXwK,Sunday,18:40:44,08:50:22
DIczQ1qqzDv6,Wednesday,02:07:06,00:07:57
jtYF8eUns719,Tuesday,01:38:42,14:23:23
HH3WFt84nkU5,Sunday,08:51:13,17:39:15
28xGwnQdyalC,Thursday,19:51:14,06:51:49
oghJ4VFCrBGW,Monday,03:50:13,02:43:46
zRlwmKHRGuna,Friday,05:21:08,13:55:47
w8t78xOqizMR,Saturday,02:36:34,20:34:57
WuRwTXhEuyW6,Monday,22:24:31,01:39:44
SmajxfUwQxze,Thursday,15:25:19,21:38:15
OBL5VJ6hSskN,Friday,04:22:27,04:11:01
Cw4wUmzOW6Ng,Sunday,15:57:39,15:27:07
Bayo3eXYtYxt,Saturday,14:39:43,22:54:07
pLmhpuz9uJOX,Saturday,19:15:09,20:10:41
rny29opnzymH,Wednesday,21:29:09,01:09:39
sraYlsrrdw2l,Saturday,02:28:50,12:48:35
dGiu0yZGuLbY,Saturday,08:25:06,11:26:55
7XfMn3PGl2dl,Thursday,12:31:49,12:05:31
gWQS2XKeDMOQ,Thursday,21:36:50,23:46:05
cqHyhV0c8KnD,Tuesday,05:44:09,12:20:05
MGqyC1SDcKnD,Sunday,11:02:18,23:11:06
AcY9aj8ASGEQ,Tuesday,22:07:33,13:26:52
TIcBv2ixhHBd,Wednesday,02:07:20,20:05:22
j7VCOWXTYiVz,Friday,21:10:39,07:04:36
dYLypeCrEHZn,Thursday,19:14:21,06:21:01
tJSL2J97eU7z,Tuesday,20:43:51,03:13:37
PSUscNWckBDg,Sunday,00:12:33,16:43:20
cPTatfrf5hYr,Saturday,17:59:35,08:33:43
I4AMTxGbM6QX,Friday,11:34:50,02:39:21
455yV0TZbpyN,Saturday,23:55:18,05:57:22
ZNwhKmN1Ll43,Sunday,03:17:49,09:06:29
pv7jaeOMhf9f,Sunday,23:27:38,07:11:40
5EA2sUt5noil,Sunday,10:48:51,19:27:49
IkKVdOzhc1Mn,Tuesday,07:27:48,20:28:00
zR4jS85zf2BX,Tuesday,03:31:52,04:19:28
vu578HpsTQzH,Saturday,11:51:46,04:09:34
ExRjhYSXTHXG,Sunday,18:21:19,02:57:05
nj3UbVaJrMZG,Thursday,12:35:16,04:20:24
mwblnusDfSqK,Saturday,11:16:25,17:48:02
KCuY6Gi1S08P,Sunday,07:11:04,04:14:43
qK0HUngjCB1a,Monday,12:22:00,05:15:13
BgdfYdPm4GlP,Monday,02:20:01,23:32:53
qNWD7k6RIUt2,Wednesday,03:09:50,14:20:15
4Z9BnO6eXbat,Friday,20:32:18,04:37:23
UKI2We7fB43h,Sunday,09:26:07,08:01:00
I9jFEAvSGfpr,Tuesday,04:04:16,02:33:32
Gazrm4YBYtXb,Friday,00:23:14,18:19:30
HC0ahpAS1Uih,Wednesday,22:07:16,01:22:32
9OEXAlXeDtVg,Sunday,10:32:20,22:39:25
5sVopp0qWHWV,Saturday,21:40:12,19:24:25
0KsgbvEkgAJU,Friday,03:48:28,20:25:04
I8Dv4AwuuwPK,Wednesday,09:16:54,15:38:11
TpeWmafIxiJi,Thursday,22:25:05,02:14:19
k466gAE8H0t7,Sunday,00:47:38,23:49:47
