id,branch_name,address,city,state,postal_code,phone_one,phone_two,email,website,resit_fee
WbWwGj6eOizY,Evergreen Secondary School,"719 Janet Overpass
Bryanborough, UT 40738",New Allisonfurt,Vermont,26040,(471)585-1570x38438,001-246-427-8304,jenniferlopez@example.com,http://www.smith.com/,8821
glbfc2s7r3Wg,Nottingham School of Arts,"735 Bowers Flat Apt. 159
Port Brianport, NC 56014",Port Christopher,Oklahoma,36239,+1-516-409-4459x98092,859.677.2893x8198,htorres@example.com,https://mcguire.info/,9580
XATWyMjYmtby,Hillside Institute,"5966 James Fall Suite 628
Port Leslieland, NV 36415",Nealshire,New Jersey,62674,001-556-307-2538x93812,(471)251-5464x51543,anthony06@example.org,http://graham.com/,3116
SqMvy66M0Mvi,Unity Hills College,"6886 Waters Coves Suite 540
Davidmouth, OR 62235",North Josephport,Florida,19157,+1-943-376-9527,645.460.6067x82978,zwalker@example.org,https://www.romero.com/,7403
MhfQzYGXZHmB,Cardinal Heights High School,"391 Herrera Circle
Andrewshire, ID 54018",Port Johnberg,Arkansas,22999,001-626-784-0668x20976,(672)993-4192x65327,jennifer68@example.net,http://www.cooper.com/,8866
8qwHQRUkZDCK,Crestfield Academy,"146 Sanchez Corners
Barbaraside, MS 63634",North Lucasview,California,28811,+1-825-816-8450x173,(804)795-5526x4198,latoya02@example.com,https://lowe.com/,6644
WrIG4ZjFoUnk,Twilight Institute,"138 Derrick Rue Suite 859
Stephanieville, NC 15056",Pricestad,Vermont,40796,001-842-208-7901x1412,804-901-8882,christopherchavez@example.org,https://www.knight.com/,3405
NsJ0KtltQp1Y,Harmony Valley Academy,"7397 Beck Park Apt. 580
New Andrealand, NM 63465",East Jordanton,Illinois,60678,4209203455,586-367-3603,timothymarquez@example.com,http://powers-hayes.org/,8521
ujTLF5DqgzFm,Maple Leaf School,"PSC 5690, Box 1625
APO AA 01670",South Jamieland,Nebraska,27202,406-843-4655,675.638.9565x377,savannahwilliams@example.org,https://fisher.org/,5172
RcZ2CQYHBCMD,Cedar Valley High School,"5439 Diana Mountain Suite 788
East Katelynshire, OR 39360",Port Jacobmouth,Illinois,73760,+1-584-366-8329x3749,5484355324,harringtonpaige@example.net,http://walsh.com/,5283
H5qtPE6XYTD7,Rising Star High School,"3595 Mark Cape
West Jessicamouth, NE 64508",Gonzalezton,Minnesota,11194,(815)395-8807x53142,001-765-703-8543x3429,amy56@example.com,http://www.martinez-jones.com/,4217
S3TZJHtItKzq,Bayview High School,"5961 Patrick Track
Calebborough, CT 52877",Nathanmouth,Alabama,64469,907.305.0026x1361,625-698-2004,michael99@example.com,https://www.davis-harris.biz/,4816
SOrWTEnldNiA,Summit Academy,"7425 Brown Parkways Suite 932
West Kyleton, WV 35684",South Stacyside,Vermont,32926,+1-945-409-4294x936,725-514-0205x337,morenojohn@example.org,http://lambert.info/,6688
pmXN4A00pTRm,Crestfield Collegiate School,"902 Dawn Land Apt. 812
Michaelburgh, AK 10417",Sherrichester,Connecticut,75533,001-545-375-3482x87290,(628)379-9450x793,mccanndonna@example.org,http://www.soto-payne.com/,5260
