id,exam_status,paid_status,resit_fee
LvpCzMFb0Y9r,second trial,paid,1414
CPxu4b1ILoTK,passed,unpaid,5857
LT9N84EeIdgs,pending,unpaid,8928
hSukePOBuRzX,second trial,unpaid,7952
icMZYjRAM7Ht,passed,unpaid,8268
8paSynMxxqcF,pending,unpaid,7116
fds6s3PW2iOK,pending,paid,7391
YIz4SyWrpiYB,pending,paid,3621
uL7aRjxcRI45,passed,unpaid,2770
dIpS92mDq7Gt,passed,paid,3571
Y19YqDLVP5X4,passed,unpaid,8011
jhiFEJhkuiFJ,second trial,unpaid,5869
IN7j5XBnSyw8,second trial,unpaid,9597
wJesH5EK1LYg,passed,unpaid,5950
yJJPLvEvu8Lx,passed,unpaid,6122
w28FS0sfYeS2,passed,unpaid,4128
eaj3ij6Ds0wH,pending,unpaid,2586
f3K8047zYTOt,pending,unpaid,4499
9zOOLAD0fCKK,second trial,unpaid,5687
RtNb6JSxhIKJ,second trial,unpaid,7121
06IHMg9s9YxZ,second trial,unpaid,1062
aY2aFRoBsBJi,passed,unpaid,9520
z1ybleebKQJp,passed,paid,1668
uZfmheCfgoVz,pending,unpaid,5895
5CWyyigUkOxr,pending,paid,8310
6zQG6Oo3W0Ol,pending,unpaid,2214
pmDKfY8oSjYb,pending,unpaid,9081
S39vRIyuY2xj,pending,paid,8613
lNxOztS6NN7l,pending,paid,9659
OksmB5z8iwnT,pending,unpaid,6217
Z7Dxqx3uA350,passed,paid,9150
cYFo762JZCMP,second trial,unpaid,2047
TSiOTfU6ZjJq,pending,paid,2277
CHEvOclGYK3k,second trial,paid,8280
MrkaH9Hq17pG,pending,unpaid,9640
EiPdBgVkWfhT,pending,paid,1713
E4swsCOgBGpe,pending,paid,7502
XbHCrLx1zc7N,passed,paid,6047
4CjGNeKtJPgU,pending,paid,7187
kTd9HKHuz38Y,pending,unpaid,9637
7UOfS3m2lGYx,passed,unpaid,7860
hfxmb5aBSS74,pending,unpaid,2782
tHXWxIl0DWoK,pending,paid,5696
o4xaehKidAId,pending,paid,4520
1vTwmY3qQlK6,second trial,unpaid,5317
31jSOEsauIJJ,passed,paid,3363
waXHB1akpZ4Q,second trial,paid,3323
DH0gbg3oyJuV,pending,paid,2186
y34Lcx1Mvdxl,passed,paid,4889
oT1YBLcAnUAv,passed,unpaid,8340
jghQaah3J4Vy,passed,paid,9751
uc7PhSJhv3UI,pending,paid,3837
czLMa3zSe65N,passed,unpaid,1662
2Rs3Bw4gFKBA,second trial,paid,7316
dVKvOfrdoMLW,second trial,unpaid,7077
sVUS9WHYhKIv,pending,paid,1302
arzngIiShDF8,second trial,unpaid,7337
euDxwDPPQHB7,passed,unpaid,4702
Hm8EukXT0xNz,passed,unpaid,5778
iFM9nwGYyHFn,passed,paid,1823
SQGncscWhiom,passed,paid,4284
izVYskGbvdFG,passed,unpaid,9402
O2ZMnUKLFeL5,pending,unpaid,3216
wagBGyQ07qag,pending,paid,2756
8Hc408hZ7xMD,second trial,paid,3228
rwD6uGQLM8NB,pending,unpaid,9477
0QWzbVsmmXhW,pending,unpaid,3717
VK3YNSltnfwM,pending,unpaid,8641
RuIlSqpr0tYn,passed,unpaid,2008
PVqjXREaNQod,passed,paid,9421
HpQSIJKxin6r,second trial,unpaid,7296
NC0JrNrY5L4l,second trial,unpaid,8998
1I77GEGIffEg,pending,unpaid,7703
iZrlDLLxeJqm,second trial,paid,2942
X5jMl0ItEtHE,second trial,unpaid,8422
bxqbz8zRddmX,second trial,unpaid,3341
0dRJjdkeu108,passed,unpaid,1056
jlUiXo6UhNxe,pending,paid,6238
sgbExUEClaHs,passed,unpaid,2376
4xvw9sUkNYzv,passed,unpaid,4235
tytuJptNPRL6,pending,paid,3686
BQPb056JYA7g,pending,paid,2834
aESWVIXbD5Ao,passed,unpaid,8589
Lhz8HeLzCKfr,passed,unpaid,9733
0smk3yK8IUYu,passed,paid,2725
6s0hRlZrOHg8,second trial,paid,3666
H963F3asAXz5,second trial,unpaid,8135
L3l4IAxohpba,pending,paid,3961
x7kwcNYqYQMr,passed,unpaid,8318
rTD2uMJO0oib,pending,paid,1661
hNIrqWVz0CLd,pending,unpaid,1242
3wAwyXtYGg7X,pending,unpaid,5862
pdkgGULtEm3U,passed,paid,6963
eOeteU9KBMY2,pending,paid,8911
fxfdZHZYaEVT,passed,paid,4203
2aQkhJu9FI2v,second trial,unpaid,6840
S2ui56QrU6UN,passed,unpaid,4643
6o7dDNwxvdLf,pending,paid,3015
7PaK7Jb0p6eJ,passed,unpaid,8348
6yKm7JfPdSe3,passed,unpaid,7504
9CUCP317Rau3,second trial,paid,8397
oQS0xORpo1ER,second trial,unpaid,4641
fyeIXI1a7eTR,pending,paid,3744
YdLEwSwi423K,second trial,paid,8129
Uyogcoz1ydju,second trial,paid,2265
SgLrLMIBemRK,pending,unpaid,8017
aAIpVkJ16umT,passed,unpaid,5086
de0ovtsB8wJl,second trial,unpaid,9972
szgskpiW0S6B,passed,unpaid,7908
CZWJoH9dogHX,pending,paid,2689
s9azMnMWBc3k,pending,unpaid,9905
KwAAPVqGRvf4,pending,unpaid,9202
6PxD4uQ770cw,pending,paid,4693
PJFNwBw36lku,pending,unpaid,9471
JcAUXQxUZ1Iq,second trial,unpaid,5967
Ar55LlWJg5Gs,second trial,unpaid,5568
PU6Pa203cheL,pending,paid,5184
UXlSNYooEJqt,pending,unpaid,9601
lYtDXxJGPIJP,second trial,paid,9575
mUebkeFE6v1i,pending,paid,3212
M06dBbp20bRr,passed,unpaid,5400
vR0kBr2MJ6jT,passed,unpaid,5923
Ccko01Mtk9hl,pending,paid,1491
bYjZ9tvNQpOj,passed,paid,1108
2HLOh4Cd1hPa,passed,unpaid,5250
G8VESxtVD7SN,second trial,unpaid,7181
EWPdHALhEbEf,second trial,paid,4200
qcqNgp6GhH1q,second trial,unpaid,2854
Sb0V308ljMMu,second trial,paid,3412
ldoImkBI9IWM,passed,paid,6178
