id,day,school_year,start_time,end_time
1rsVZgc7eX29,Wednesday,2011-2012,10:06:32,23:30:51
YlwIlFABlLLt,Tuesday,2008-2009,03:27:30,10:41:37
JFBEn51Ig8A8,Friday,2009-2010,06:19:33,01:57:43
3OcIY48AQf2t,Thursday,2023-2024,03:36:16,16:12:06
87uT51HgHVfE,Tuesday,2009-2010,22:51:53,04:09:59
ABeOc3x2JrBw,Saturday,2002-2003,02:41:22,10:25:02
tVZChdvVO5yb,Wednesday,2010-2011,09:56:51,02:20:58
35lwert7kivB,Tuesday,2013-2014,12:59:04,01:20:51
XzFhanWasmAq,Friday,2027-2028,12:25:31,04:30:20
ynQtOM3fErT1,Friday,2025-2026,20:11:38,04:47:11
vsDDqAHoZwYA,Tuesday,2023-2024,18:33:21,17:08:26
uZnwdvpJxVrc,Friday,2002-2003,12:58:19,20:21:44
GApFP1AlSag7,Sunday,2017-2018,08:35:36,00:28:47
fgLjzOTfT0oC,Wednesday,2001-2002,03:28:19,01:53:36
ttKXnBmnbesG,Friday,2010-2011,00:39:00,07:49:05
djJ3BvVSNLy3,Wednesday,2027-2028,11:51:48,21:40:51
Ji3e9a4hFZzh,Tuesday,2010-2011,21:37:25,16:27:15
LOrF2jzr2hXE,Thursday,2020-2021,01:50:50,05:11:17
UHQin4NqLKS2,Thursday,2009-2010,00:48:19,01:10:16
Z912x78o0Jgy,Wednesday,2019-2020,20:42:17,19:48:10
blCCeoeS9wFm,Thursday,2021-2022,04:07:35,13:19:42
PfePOM4VAE0r,Thursday,2021-2022,13:32:16,08:12:32
SCRGd28yyCvS,Sunday,2001-2002,07:13:11,10:08:31
herc6Tk49QuS,Saturday,2012-2013,16:08:55,03:10:32
oUcPUWdy8pHb,Wednesday,2011-2012,01:27:29,03:40:30
pgDt0vLrTaJG,Thursday,2022-2023,20:45:31,13:28:10
75aKSxRBC5gx,Monday,2018-2019,00:04:12,05:34:38
kH50AyBiQbDO,Sunday,2003-2004,10:41:23,15:51:12
xbi9mvrRT96J,Monday,2021-2022,19:23:37,09:10:18
RYcC3LWDK5CV,Friday,2020-2021,14:10:58,10:35:40
BclTNbCShfNI,Thursday,2006-2007,06:20:17,19:53:43
mNJSACCGpsuU,Sunday,2019-2020,22:47:57,21:42:26
EjlY0Yp0AyqM,Sunday,2024-2025,01:34:46,04:56:27
9d9puNAa83SM,Thursday,2015-2016,04:49:38,05:54:14
Z9fZHhnixuwU,Thursday,2015-2016,22:24:03,02:15:30
PQC5xwewrVMP,Wednesday,2004-2005,22:51:50,18:24:03
42YqzNJRMnV6,Monday,2006-2007,22:54:45,09:31:33
z2xZs4pYJkn1,Monday,2002-2003,08:16:35,15:34:30
h0rmoNT477Ah,Friday,2001-2002,21:16:55,18:51:44
fqarTnb5OGx3,Thursday,2006-2007,12:38:33,01:27:41
hIuwpksAmci9,Saturday,2018-2019,01:03:54,05:41:36
Hy1KfRKPW4cA,Monday,2023-2024,02:52:31,17:56:54
JZ9mqy5Wt28n,Monday,2012-2013,08:07:01,05:36:17
EWau1crEyYJ3,Saturday,2001-2002,11:57:38,10:49:47
3896SPADesjm,Saturday,2005-2006,17:19:53,09:44:40
FBYXfnlGtwqR,Saturday,2023-2024,17:57:53,07:27:22
Cb3Su32EGJlA,Friday,2027-2028,23:15:02,19:21:03
tcG1fHoeUdZ0,Thursday,2007-2008,00:27:59,12:03:44
TYnRU62ZZA9S,Monday,2008-2009,07:25:25,22:23:41
mZqSLIhx304W,Monday,2005-2006,07:34:02,05:03:46
Ov7NUTxjGPnJ,Sunday,2019-2020,14:05:45,15:27:27
cAj2usP4IBxY,Thursday,2016-2017,04:24:58,22:39:45
LQJa6K0Ci6sG,Friday,2006-2007,14:44:48,22:23:39
qswaLtx8QYvT,Sunday,2006-2007,23:57:24,19:19:10
yNBi7kl6gady,Sunday,2014-2015,12:16:16,19:13:58
yJHzMbVzsDaV,Thursday,2023-2024,14:52:33,00:53:38
agznHuIL7NSr,Saturday,2022-2023,15:45:03,12:19:16
Ua6KDue0YynA,Sunday,2020-2021,23:27:53,08:41:35
jVlENIiMiHGT,Tuesday,2018-2019,13:25:59,01:35:49
iBquyPsGdwMl,Saturday,2013-2014,01:58:46,02:05:18
wjPYtgOHi0g8,Monday,2002-2003,19:10:09,11:40:48
M4vrLTkiPcC9,Tuesday,2017-2018,02:58:33,21:01:05
iKg9LWi8VsHv,Thursday,2008-2009,22:34:00,16:05:22
IWccKVaYGaPz,Thursday,2017-2018,19:19:54,16:37:37
6jtVpJu9LU1v,Saturday,2020-2021,07:48:39,16:05:32
1Om4h3yBz8hE,Thursday,2022-2023,20:13:36,23:05:17
w6dfO66gZwtO,Saturday,2011-2012,23:39:01,04:22:11
h8YMIQcGAwe0,Friday,2016-2017,16:05:23,16:43:22
0Qg1DaaPnjpu,Sunday,2025-2026,17:16:15,19:37:18
4RVKs1GQ69gY,Thursday,2019-2020,12:23:45,03:00:00
kPrSy3KZ3SyF,Sunday,2016-2017,20:44:42,22:04:31
H90WHF6VawGR,Friday,2013-2014,06:56:33,16:58:02
JjBPnLEvwHVe,Wednesday,2013-2014,21:13:51,14:48:53
jKUTrgJm1Uxt,Tuesday,2024-2025,15:30:17,09:46:37
PdH4o2yzVslH,Monday,2019-2020,22:52:59,06:11:21
smVsYJv5MrFI,Thursday,2011-2012,00:22:36,13:14:08
98RsidsDTpzI,Friday,2005-2006,04:44:45,06:09:21
eng1lvOMKuOA,Thursday,2001-2002,07:45:22,10:35:06
fBy3rlxbgrac,Saturday,2022-2023,19:54:26,18:05:31
eC0Q2BBePQiJ,Tuesday,2007-2008,05:15:12,01:05:13
vHJYR8UgQpUL,Tuesday,2001-2002,16:00:30,03:02:30
KDxINeX43zHS,Monday,2011-2012,04:46:29,16:04:23
awV4SarxSuJM,Sunday,2010-2011,04:54:55,09:42:02
RYFC13tweVsr,Sunday,2021-2022,18:42:14,22:12:29
UgDGaB3vwRDe,Friday,2009-2010,10:37:59,08:06:49
bloFeb9cRWdx,Wednesday,2013-2014,22:48:22,02:51:31
nOtPDBIRwVSm,Saturday,2022-2023,10:03:11,20:23:58
oV8PkfofU3Td,Friday,2002-2003,20:45:34,02:52:06
eajELMko04JW,Friday,2018-2019,04:06:31,11:39:00
